,description,question,choices,answer
46,nested orange circles,"['are there circles?', 'what shape is this?', 'are the circles nested?', 'are the circles orange?', 'what color are the circles?', 'are the circles orange or red?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['orange', 'red', 'yellow', 'green']]","['yes', 'circles', 'yes', 'yes', 'orange', 'orange']"
47,a lime green felt hat with a wide brim,"['is this a hat?', 'what type of clothing is this?', 'is there a brim?', 'what is on the hat?', 'is the hat lime green?', 'what color is the hat?', 'is the hat felt?', 'what is the material of the hat?', 'is the brim wide?', 'is the brim wide or narrow?']","[['yes', 'no'], ['hat', 'jacket', 'shirt', 'pants'], ['yes', 'no'], ['brim', 'crown', 'visor', 'band'], ['yes', 'no'], ['lime green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['felt', 'wool', 'cotton', 'silk'], ['yes', 'no'], ['wide', 'narrow', 'medium', 'tiny']]","['yes', 'hat', 'yes', 'brim', 'yes', 'lime green', 'yes', 'felt', 'yes', 'wide']"
48,A chrome torus impaled on a glass spike,"['is there a torus?', 'what type of shape is this?', 'is there a spike?', 'what type of object is this?', 'is the torus impaled on the spike?', 'is the torus chrome?', 'what color is the torus?']","[['yes', 'no'], ['torus', 'sphere', 'cylinder', 'cone'], ['yes', 'no'], ['spike', 'needle', 'stick', 'pole'], ['yes', 'no'], ['yes', 'no'], ['chrome', 'silver', 'gold', 'bronze']]","['yes', 'torus', 'yes', 'spike', 'yes', 'yes', 'chrome']"
49,Interlocking geometric shapes forming a complex pattern.,"['are there shapes?', 'what type of object is this?', 'are the shapes forming a pattern?', 'are the shapes interlocking?', 'are the shapes interlocking or overlapping?', 'are the shapes geometric?', 'is the pattern complex?', 'is the pattern complex or simple?']","[['yes', 'no'], ['shapes', 'colors', 'numbers', 'letters'], ['yes', 'no'], ['yes', 'no'], ['interlocking', 'overlapping', 'intersecting', 'touching'], ['yes', 'no'], ['yes', 'no'], ['complex', 'simple', 'easy', 'difficult']]","['yes', 'shapes', 'yes', 'yes', 'interlocking', 'yes', 'yes', 'complex']"
50,a bright red apple on a wooden table,"['is there an apple on the table?', 'what fruit is on the table?', 'is there a table?', 'what type of furniture is this?', 'is the apple bright red?', 'what color is the apple?', 'is the table wooden?', 'what is the material of the table?']","[['yes', 'no'], ['apple', 'orange', 'banana', 'pear'], ['yes', 'no'], ['table', 'chair', 'sofa', 'bed'], ['yes', 'no'], ['bright red', 'bright green', 'bright yellow', 'bright blue'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'apple', 'yes', 'table', 'yes', 'bright red', 'yes', 'wooden']"
51,olive green canvas backpack with brown leather straps and multiple zipper pockets,"['is this a backpack?', 'what type of bag is this?', 'are there leather straps?', 'what type of strap is this?', 'are there zipper pockets?', 'what type of pockets are there?', 'is the backpack olive green?', 'what color is the backpack?', 'are the leather straps brown?', 'what color are the leather straps?']","[['yes', 'no'], ['backpack', 'purse', 'briefcase', 'suitcase'], ['yes', 'no'], ['leather straps', 'cloth straps', 'metal straps', 'plastic straps'], ['yes', 'no'], ['zipper pockets', 'buttons', 'loops', 'Velcro'], ['yes', 'no'], ['olive green', 'black', 'red', 'blue'], ['yes', 'no'], ['brown', 'black', 'red', 'blue']]","['yes', 'backpack', 'yes', 'leather straps', 'yes', 'zipper pockets', 'yes', 'olive green', 'yes', 'brown']"
52,streaks of light on a dark background,"['are there streaks of light on the background?', 'what type of object is this?', 'are there streaks of light?', 'what type of object is this?', 'is there a background?', 'what type of object is this?', 'is the background dark?', 'what color is the background?']","[['yes', 'no'], ['streaks', 'lines', 'dots', 'circles'], ['yes', 'no'], ['light', 'dark', 'bright', 'dim'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['dark', 'light', 'bright', 'dim']]","['yes', 'streaks', 'yes', 'light', 'yes', 'background', 'yes', 'dark']"
53,Indigo circles and coral squares overlapping,"['are there circles?', 'what shape is this?', 'are there squares?', 'what shape is this?', 'are the circles and squares overlapping?', 'are the circles indigo?', 'what color are the circles?', 'are the squares coral?', 'what color are the squares?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['indigo', 'red', 'blue', 'green'], ['yes', 'no'], ['coral', 'red', 'blue', 'green']]","['yes', 'circles', 'yes', 'squares', 'yes', 'yes', 'indigo', 'yes', 'coral']"
54,a spiraling pattern of red and blue triangles,"['is this a spiraling pattern?', 'is this a spiraling pattern or a straight line?', 'are the triangles red and blue?', 'what color are the triangles?', 'are the triangles triangles?', 'what shape are the triangles?']","[['yes', 'no'], ['spiraling pattern', 'straight line', 'zigzag', 'curved'], ['yes', 'no'], ['red and blue', 'red and yellow', 'blue and yellow', 'red and green'], ['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles']]","['yes', 'spiraling pattern', 'yes', 'red and blue', 'yes', 'triangles']"
55,Intersecting blue and yellow circles on a black background,"['are there intersecting blue and yellow circles?', 'what shape is this?', 'is the background black?', 'what color is the background?', 'are the circles blue?', 'what color are the circles?', 'are the circles yellow?', 'what color are the circles?', 'are the circles intersecting?', 'are the circles intersecting or overlapping?', 'are the circles on the background?', 'are the circles on the background or in the background?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['intersecting', 'overlapping', 'touching', 'crossing'], ['yes', 'no'], ['on', 'in', 'under', 'over']]","['yes', 'circles', 'yes', 'black', 'yes', 'blue', 'yes', 'yellow', 'yes', 'intersecting', 'yes', 'on']"
56,A stylized red fox outlined against a full moon.,"['is this a fox?', 'what animal is in the picture?', 'is there a moon?', 'what is in the sky?', 'is the fox outlined against the moon?', 'is the fox red?', 'what color is the fox?', 'is the fox stylized?', 'is the fox stylized or realistic?']","[['yes', 'no'], ['fox', 'dog', 'cat', 'bird'], ['yes', 'no'], ['moon', 'sun', 'star', 'cloud'], ['yes', 'no'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no'], ['stylized', 'realistic', 'cartoon', 'drawing']]","['yes', 'fox', 'yes', 'moon', 'yes', 'yes', 'red', 'yes', 'stylized']"
57,a crimson sphere reflecting a blue sky,"['is this a sphere?', 'what type of shape is this?', 'is this a sky?', 'what type of place is this?', 'is the sphere reflecting the sky?', 'is the sphere crimson?', 'what color is the sphere?', 'is the sky blue?', 'what color is the sky?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['sky', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['crimson', 'blue', 'yellow', 'green'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green']]","['yes', 'sphere', 'yes', 'sky', 'yes', 'yes', 'crimson', 'yes', 'blue']"
58,a steaming cup of coffee on a wooden table,"['is there a cup of coffee?', 'what type of container is this?', 'is there coffee?', 'what type of drink is this?', 'is there a table?', 'what type of furniture is this?', 'is the cup of coffee steaming?', 'what is the cup of coffee doing?', 'is the table wooden?', 'what is the material of the table?']","[['yes', 'no'], ['cup', 'bowl', 'glass', 'plate'], ['yes', 'no'], ['coffee', 'tea', 'milk', 'juice'], ['yes', 'no'], ['table', 'chair', 'sofa', 'bed'], ['yes', 'no'], ['steaming', 'cooling', 'melting', 'freezing'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'cup', 'yes', 'coffee', 'yes', 'table', 'yes', 'steaming', 'yes', 'wooden']"
59,an orange cube dissolving into a swirl of yellow pixels,"['is this a cube?', 'what shape is this?', 'is this a swirl?', 'what is the cube dissolving into?', 'is the cube dissolving into a swirl?', 'is the cube orange?', 'what color is the cube?', 'is the swirl yellow?', 'what color is the swirl?', 'are the pixels?', 'are the pixels pixels, or dots, or lines?']","[['yes', 'no'], ['cube', 'sphere', 'cylinder', 'pyramid'], ['yes', 'no'], ['swirl', 'cloud', 'mist', 'smoke'], ['yes', 'no'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['pixels', 'dots', 'lines', 'squares']]","['yes', 'cube', 'yes', 'swirl', 'yes', 'yes', 'orange', 'yes', 'yellow', 'yes', 'pixels']"
60,obsidian hexagons fading into a central void,"['are there hexagons?', 'what shape is this?', 'is there a void?', 'what type of place is this?', 'are the hexagons fading?', 'are the hexagons obsidian?', 'what is the material of the hexagons?', 'is there a void in the center?', 'is the void in the center or on the side?']","[['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['void', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['obsidian', 'glass', 'plastic', 'wood'], ['yes', 'no'], ['center', 'side', 'top', 'bottom']]","['yes', 'hexagons', 'yes', 'void', 'yes', 'yes', 'obsidian', 'yes', 'center']"
61,a mountain range during a pastel sunset,"['is this a mountain range?', 'what type of place is this?', 'is this a pastel sunset?', 'what color is the sky?']","[['yes', 'no'], ['mountain range', 'hill', 'valley', 'plain'], ['yes', 'no'], ['pastel sunset', 'dark night', 'bright day', 'cloudy']]","['yes', 'mountain range', 'yes', 'pastel sunset']"
62,indigo triangles tessellating across a surface,"['are there triangles?', 'what shape is this?', 'is there a surface?', 'what type of object is this?', 'are the triangles tessellating across the surface?', 'are the triangles indigo?', 'what color are the triangles?', 'are the triangles tessellating across the surface?', 'are the triangles tessellating across or along the surface?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['surface', 'object', 'shape', 'form'], ['yes', 'no'], ['yes', 'no'], ['indigo', 'red', 'yellow', 'green'], ['yes', 'no'], ['across', 'along', 'over', 'under']]","['yes', 'triangles', 'yes', 'surface', 'yes', 'yes', 'indigo', 'yes', 'across']"
63,Emerald spheres orbiting an azure cube,"['are there spheres orbiting a cube?', 'what type of shape is this?', 'is there a cube?', 'what type of shape is this?', 'are the spheres orbiting a cube?', 'are the spheres emerald?', 'what color are the spheres?', 'is the cube azure?', 'what color is the cube?']","[['yes', 'no'], ['spheres', 'cubes', 'rectangles', 'triangles'], ['yes', 'no'], ['cube', 'sphere', 'rectangle', 'triangle'], ['yes', 'no'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['azure', 'red', 'yellow', 'green']]","['yes', 'spheres', 'yes', 'cube', 'yes', 'yes', 'emerald', 'yes', 'azure']"
64,Purple and green triangles stacked to form a pyramid.,"['are there triangles?', 'what shape is this?', 'is this a pyramid?', 'what shape is this?', 'are the triangles stacked?', 'are the triangles purple and green?', 'what color are the triangles?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['pyramid', 'cube', 'sphere', 'cylinder'], ['yes', 'no'], ['yes', 'no'], ['purple and green', 'red and blue', 'blue and green', 'red and blue']]","['yes', 'triangles', 'yes', 'pyramid', 'yes', 'yes', 'purple and green']"
65,an iridescent flowing ribbon,"['is this a ribbon?', 'what type of object is this?', 'is the ribbon flowing?', 'what is the ribbon doing?', 'is the ribbon iridescent?', 'what color is the ribbon?']","[['yes', 'no'], ['ribbon', 'chain', 'rope', 'string'], ['yes', 'no'], ['flowing', 'waving', 'shaking', 'vibrating'], ['yes', 'no'], ['iridescent', 'iridescent', 'iridescent', 'iridescent']]","['yes', 'ribbon', 'yes', 'flowing', 'yes', 'iridescent']"
66,a red brick wall with ivy growing on it,"['is this a wall?', 'what type of structure is this?', 'is there ivy growing on the wall?', 'what is growing on the wall?', 'is the ivy growing on the wall?', 'is the brick red?', 'what color is the brick?', 'is the brick brick?', 'what color is the brick?']","[['yes', 'no'], ['wall', 'house', 'building', 'fence'], ['yes', 'no'], ['ivy', 'vine', 'creeper', 'moss'], ['yes', 'no'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no'], ['brick', 'stone', 'wood', 'metal']]","['yes', 'wall', 'yes', 'ivy', 'yes', 'yes', 'red', 'yes', 'brick']"
67,City skyline at twilight with illuminated windows,"['is this a city skyline?', 'what type of place is this?', 'are there windows?', 'what type of object is this?', 'are the windows illuminated?', 'are the windows illuminated or dark?', 'is this a twilight?', 'is this a twilight or a daytime?']","[['yes', 'no'], ['city skyline', 'beach', 'forest', 'mountain'], ['yes', 'no'], ['windows', 'doors', 'walls', 'floors'], ['yes', 'no'], ['illuminated', 'dark', 'bright', 'dim'], ['yes', 'no'], ['twilight', 'daytime', 'night', 'dawn']]","['yes', 'city skyline', 'yes', 'windows', 'yes', 'illuminated', 'yes', 'twilight']"
68,A stack of colorful books,"['are there books?', 'what type of object is this?', 'are the books colorful?', 'what color are the books?', 'is this a stack of books?', 'is this a stack or a pile of books?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'letters'], ['yes', 'no'], ['colorful', 'black', 'white', 'gray'], ['yes', 'no'], ['stack', 'pile', 'heap', 'mound']]","['yes', 'books', 'yes', 'colorful', 'yes', 'stack']"
69,a chrome gear intertwined with a copper coil and sparking arcs,"['is this a gear?', 'what type of object is this?', 'is this a coil?', 'what type of object is this?', 'are there arcs?', 'what type of object is this?', 'are the gear and coil intertwined?', 'are the arcs sparking?', 'is the gear chrome?', 'what color is the gear?', 'is the coil copper?', 'what color is the coil?']","[['yes', 'no'], ['gear', 'wheel', 'chain', 'belt'], ['yes', 'no'], ['coil', 'spring', 'wire', 'cable'], ['yes', 'no'], ['arcs', 'waves', 'lines', 'curves'], ['yes', 'no'], ['yes', 'no'], ['yes', 'no'], ['chrome', 'gold', 'silver', 'bronze'], ['yes', 'no'], ['copper', 'gold', 'silver', 'bronze']]","['yes', 'gear', 'yes', 'coil', 'yes', 'arcs', 'yes', 'yes', 'yes', 'chrome', 'yes', 'co']"
70,A solitary large oak tree with gnarled branches and green leaves standing on a small grassy hill under a clear blue sky.,"['is this an oak tree?', 'what type of tree is this?', 'are there branches on the tree?', 'what is on the tree?', 'are there leaves on the tree?', 'what is on the tree?', 'is there a grassy hill?', 'what type of landform is this?', 'is there a sky?', 'what type of sky is this?', 'is the oak tree standing?']","[['yes', 'no'], ['oak tree', 'pine tree', 'palm tree', 'maple tree'], ['yes', 'no'], ['branches', 'leaves', 'roots', 'flowers'], ['yes', 'no'], ['leaves', 'branches', 'roots', 'flowers'], ['yes', 'no'], ['grassy hill', 'mountain', 'valley', 'plains'], ['yes', 'no'], ['sky', 'clouds', 'sun', 'moon'], ['yes', 'no']]","['yes', 'oak tree', 'yes', 'branches', 'yes', 'leaves', 'yes', 'grassy hill', 'yes', 'sky', 'yes']"
